카테고리,task명,반복성(1-5),전략민감도(1-5),스킬희소성(1-5),브랜드의존도(1-5),외주적합도(-8~8),외주적합도_레벨,발주단위설명
브랜드_PR,시장 조사 및 경쟁사 분석하기,4,3,4,3,2,중간,반기/연 단위 리서치 리포트로 발주
브랜드_PR,캠페인 성과 분석 및 개선 방안 도출하기,4,4,4,4,0,중간,캠페인 종료 후 성과 리포트 단위 발주
브랜드_PR,디지털 채널 관리 및 콘텐츠 전략 수립하기,3,5,4,5,-3,낮음,월 단위 채널 운영·전략 외주(콘텐츠 포함)
콘텐츠,글로벌 콘텐츠 마케팅 전략 기획,2,5,5,5,-3,낮음,캠페인 단위 또는 연 1~2회 프로젝트별 컨설팅 계약
콘텐츠,구매 전환 목적의 광고 소재 기획 및 제작,4,4,4,4,0,중간,월 단위 건별 또는 캠페인별 발주
콘텐츠,데이터 분석을 통한 소재 가설 테스트,3,3,4,3,1,중간,월 단위 리포트 및 분석 업무 위임
콘텐츠,시장 분석 및 경쟁사 조사,3,3,3,2,1,중간,리서치 프로젝트 단위 외주 또는 정기(분기/반기) 계약
콘텐츠,SNS 콘텐츠 기획 및 운영,4,4,4,5,-1,중간,월간/분기별 운영대행 계약
콘텐츠,팔로워들과 소통하며 인사이트 발굴,3,3,3,5,-2,중간,월 단위 SNS 운영 대행 및 커뮤니티 매니저 아웃소싱
콘텐츠,바이럴 콘텐츠 기획 및 제작,4,4,4,5,-1,중간,월 단위 혹은 캠페인 건별로 크리에이티브팀 위탁
콘텐츠,인플루언서 컨택 및 협업 추진,4,3,4,4,1,중간,캠페인 단위 또는 월간/분기 계약으로 진행
콘텐츠,광고 캠페인 세팅 및 최적화,4,4,4,3,1,중간,캠페인 단위 또는 월간 운영 계약
콘텐츠,성과 분석 및 A/B 테스트 수행,3,4,4,3,0,중간,월 단위 리포팅 및 테스트 업무 발주
콘텐츠,숏폼 콘텐츠 기획 및 제작,5,3,4,4,2,중간,단일 영상 건별 또는 월 단위 제작 대행
콘텐츠,광고 콘텐츠 업로드 및 리뷰 확인,5,2,2,2,3,높음,운영(업로드) 건별 또는 일괄 대량 발주
콘텐츠,인플루언서 발굴 및 리스트업 및 커뮤니케이션 진행,4,2,3,3,2,중간,월 또는 캠페인별 리스트업/컨택 대행 위탁
콘텐츠,마케팅 자료 및 리포트 작성,4,3,3,2,2,중간,월 단위 리포트 작성 대행 또는 프로젝트별 발주
콘텐츠,프레임워크 기반 브랜드 메시지 정리 및 관리,2,5,5,5,-3,낮음,초기 브랜드 론칭 시 또는 연 1~2회 프로젝트 단위 컨설팅
퍼포먼스,캠페인 KPI 설정 및 성과 분석하기,3,4,4,4,-1,중간,캠페인별 건당 분석 리포트 위주 외주 용역
퍼포먼스,디지털 광고 플랫폼 세팅 및 운영하기,4,3,4,3,2,중간,월 단위 플랫폼 운영 대행 계약
퍼포먼스,광고 예산 운영 및 타겟팅 전략 수립하기,2,5,4,4,-3,낮음,월 단위 예산/타겟팅 컨설팅 외주
퍼포먼스,SNS 채널 콘텐츠 기획 및 운영하기,3,4,4,5,-2,중간,월 단위 SNS 콘텐츠 운영 위탁
퍼포먼스,광고 소재 기획 및 리사이징하기,5,2,3,3,3,높음,건별 또는 월 단위 소재 제작 외주
퍼포먼스,퍼포먼스 마케팅 전략 수립 및 운영하기,2,5,5,5,-3,낮음,캠페인 단위 또는 분기 단위 전략 프로젝트 외주
퍼포먼스,각종 지표 관리 및 성과 분석하기,4,3,4,3,2,중간,월별/분기별 성과 분석 리포트 외주
퍼포먼스,크리에이터 협업 캠페인 기획하고 운영하기,3,4,4,5,-2,중간,캠페인 1회 단위 프리랜서/대행사 계약
퍼포먼스,신규 크리에이터 발굴 및 협업 진행하기,4,3,4,4,1,중간,월 단위 또는 캠페인 단위 대행 외주
퍼포먼스,광고 성과 측정 및 분석하기,4,3,3,3,1,중간,월 단위 성과 리포트 외주
퍼포먼스,랜딩 페이지 전환율 CVR 개선 포인트 도출 및 실행하기,3,4,5,5,-1,중간,프로젝트 단위 UI/UX 개선 용역
퍼포먼스,광고 캠페인 기획 및 구조 설계하기,2,5,4,5,-4,낮음,캠페인 단위 전략 기획 외주
퍼포먼스,소셜 미디어 관리 및 콘텐츠 기획하기,4,4,4,5,-1,중간,월 단위 소셜 미디어 위탁 계약
퍼포먼스,시즌·이벤트 연계 기획 및 판매 성과 분석하기,3,4,3,4,-2,중간,시즌/이벤트 단위 컨설팅 외주
퍼포먼스,데이터 기반 가설 수립 및 캠페인 성과 분석하기,3,4,5,4,0,중간,캠페인 단위 데이터 분석 컨설팅 외주
기획_전략,IMC 캠페인 기획 및 실행,2,5,5,5,-3,낮음,캠페인 단위 에이전시 프로젝트 계약
기획_전략,온라인/오프라인 마케팅 전략 수립,2,5,5,5,-3,낮음,분기/연간 단위 컨설팅 프로젝트 계약
기획_전략,SNS 콘텐츠 기획 및 운영,3,3,3,5,-2,중간,월 단위 에이전시 또는 프리랜서 운영 계약
기획_전략,인플루언서 후보 리스트업 및 협업 커뮤니케이션 진행,4,2,3,3,2,중간,캠페인 단위 또는 월 단위 외주 발주
기획_전략,성공적인 광고 소재 제작 및 리사이징,5,2,4,4,3,높음,건당 또는 월 단위 디자인 외주 발주
기획_전략,데이터 분석 및 인사이트 도출,3,4,4,4,-1,중간,월/분기 단위 리포트 외주 발주
기획_전략,자사몰 및 외부몰 마케팅 운영 및 관리,4,4,4,4,0,중간,월 단위 에이전시 운영 계약
기획_전략,시장 및 경쟁사 조사,4,3,3,3,1,중간,리서치별 건당 외주 발주
기획_전략,캠페인 성과 분석 및 개선 방향 도출,3,4,4,4,-1,중간,캠페인 단위 분석 리포트 외주 발주
기획_전략,광고 예산 운영 및 성과 최적화,3,4,4,4,-1,중간,월/분기 단위 대행 계약
기획_전략,브랜드/제품 관련 콘텐츠 기획 및 제작,3,4,4,5,-2,중간,콘텐츠 건별 또는 월 단위 외주 발주
기획_전략,고객 리텐션 마케팅,4,4,4,4,0,중간,월 단위 CRM 에이전시 계약
기획_전략,온·오프라인 프로모션 및 이벤트 기획,3,4,4,4,-1,중간,이벤트 단위 프로젝트 외주 계약
기획_전략,브랜드 가이드라인 및 포지셔닝 관리,2,5,5,5,-3,낮음,리뉴얼 또는 신규 브랜드 PM 프로젝트 단위 외주 계약
기획_전략,매체별 마케팅 운영 및 성과 분석,4,4,4,4,0,중간,월 단위 미디어 대행 에이전시 계약
글로벌,인플루언서 발굴 및 1차 컨택하기,5,2,3,2,4,높음,월 단위 인플루언서 목록 및 1차 컨택 건당 발주
글로벌,시장 조사 및 경쟁사 콘텐츠 확인하기,4,3,2,1,2,중간,1회 리서치 리포트 단위 또는 쿼터별 발주
글로벌,캠페인 성과 데이터 수집 및 분석하기,5,3,2,2,2,중간,캠페인 1회 기준 또는 월별 리포트 단위 발주
글로벌,틱톡 및 인스타그램 채널 콘텐츠 기획하기,3,4,4,5,-2,중간,월별 채널 콘텐츠 기획 패키지 단위 발주
글로벌,광고 소재 제작 및 업로드하기,5,2,4,3,4,높음,"소재 1건, 10건 등 묶음 단위 건별 발주"
글로벌,인플루언서와의 커뮤니케이션 관리하기,4,3,4,3,2,중간,캠페인 기간 단위 프리랜서 또는 에이전시 계약
글로벌,세일즈 성과 KPI 관리 및 개선하기,4,4,4,3,1,중간,월 또는 분기별 KPI 관리 패키지 단위 발주
글로벌,이커머스 채널 상품 등록 및 운영하기,5,2,2,2,3,높음,상품 단위 또는 채널별 월간 운영 계약
글로벌,정량적 데이터 기반 가설 수립 및 분석하기,3,5,4,4,-2,중간,분석 리포트 1회 또는 프로젝트 단위 발주
글로벌,콘텐츠 제작을 위한 제품 전달 및 가이드 제공하기,4,2,2,3,1,중간,캠페인 단위 일괄 발송 및 가이드 문서 제공
글로벌,캠페인 성과 모니터링 및 리포트 작성하기,4,3,3,2,2,중간,캠페인 1회 기준 또는 월간 리포트 단위 발주
글로벌,트렌드 및 경쟁 분석 진행하기,4,3,3,2,2,중간,1회 또는 정기 리서치 리포트 단위 발주
글로벌,협업 에이전시 및 파트너와의 커뮤니케이션 지원하기,4,3,3,3,1,중간,프로젝트 또는 캠페인 기간 단위 지원 계약
글로벌,브랜드 맞춤형 콘텐츠 기획 및 제작하기,2,5,5,5,-3,낮음,캠페인별 콘텐츠 제작 프로젝트 단위 발주
글로벌,소셜미디어 채널 운영 및 콘텐츠 관리하기,5,4,4,5,0,중간,월 단위 채널 운영 에이전시 패키지 계약
채널운영,자사몰 현황 진단 및 개선 실행,2,5,4,5,-4,낮음,프로젝트 단위 컨설팅/개선 과업 계약
채널운영,디지털 광고 집행,5,3,3,2,3,높음,월별 클릭/노출 단위 대행사 위탁 또는 건별 캠페인 단위
채널운영,CMR 재활성화 캠페인 기획 및 실행,3,4,4,4,-1,중간,캠페인 단위(월간/분기 단위) 기획 및 실행 대행
채널운영,퍼포먼스 지표 트래킹 체계 구축,1,5,5,4,-3,낮음,초기 1회 구축 프로젝트 단위 발주
채널운영,자사 SNS 채널 운영,4,4,3,5,-2,중간,월/분기 단위 채널 운영 대행
채널운영,콘텐츠 기획 및 제작,3,4,4,5,-2,중간,콘텐츠 건별/월간 패키지 단위 기획·제작 발주
채널운영,틱톡샵 계정 개설 및 운영,3,3,2,4,-2,중간,"초기 개설(1회), 운영은 월 단위 위탁"
채널운영,틱톡샵 프로모션 기획 및 운영,3,4,4,4,-1,중간,프로모션 캠페인 단위 대행
채널운영,인플루언서 마케팅 시딩 및 협업,4,3,4,4,1,중간,1개 캠페인 혹은 월간 단위 건별 진행
채널운영,EM-commerce 플랫폼 운영 및 매출 성과 관리,4,4,3,4,-1,중간,월간/분기별 매니지먼트 대행
채널운영,광고 소재 기획 및 광고 집행,4,4,4,4,0,중간,소재 건별 혹은 월/캠페인 단위 패키지 발주
채널운영,트렌드 기반 콘텐츠 제작 및 반영,3,4,4,5,-2,중간,트렌드별/월간 콘텐츠 패키지 제작 발주
채널운영,소셜 미디어 콘텐츠 업로드 및 운영,5,2,2,3,2,중간,월 단위 콘텐츠 업로드/채널 관리 위탁
채널운영,성과 분석 및 리포트 작성,4,3,3,3,1,중간,월/캠페인 단위 리포트 작업 발주
채널운영,재고 관리 및 발주 업무,5,2,2,2,3,높음,월 단위 재고 관리 및 발주 지원 위탁
CRM,유저 행동 데이터를 기반으로 한 타겟 세분화 및 자동화 메시지 설계하기,3,4,4,4,-1,중간,1회성 프로젝트 단위 또는 월 단위 컨설팅 계약
CRM,"이메일, 문자, 알림톡 등 채널별 CRM 캠페인 기획 및 콘텐츠 작성하기",4,3,3,4,0,중간,월 단위/캠페인 건당 외주 혹은 패키지 단위 콘텐츠 제작 계약
CRM,구매 여정 기반 CRM 시나리오 설계 및 자동화 운영하기,3,4,4,4,-1,중간,프로젝트 단위 컨설팅 및 자동화 구축 패키지 발주
CRM,CRM 성과 분석 및 A/B 테스트 기반 개선 실행하기,4,4,4,3,1,중간,월간 분석 및 개선 실행 건별 외주
CRM,고객 세그먼트 정의 및 타겟 메시지 전략 수립하기,2,5,4,5,-4,낮음,1회 프로젝트 혹은 분기별 전략 수립 자문 계약
CRM,성과 데이터 분석 및 보고하기,5,2,2,2,3,높음,월 단위/정기 리포트 건당 발주
CRM,퍼널 분석 및 개선 실험 설계·실행하기,3,4,4,3,0,중간,분기별 프로젝트 단위 또는 테스트 단위 외주
CRM,광고 소재 기획 및 전환 중심 콘텐츠 A/B 테스트 진행하기,4,3,4,4,1,중간,광고 캠페인별 건당 또는 월 패키지 단위 외주 진행
CRM,주요 채널별 광고 캠페인 집행 및 최적화하기,5,3,4,3,3,높음,월 단위 관리대행 계약 또는 캠페인 진행 시점별 외주
CRM,주간/정기 성과 리포트 작성하기,5,2,2,2,3,높음,주간/월간 리포트 건별 또는 정기 구독형 발주
CRM,신규 유입 전략 기획하기,2,5,4,5,-4,낮음,전략 컨설팅 프로젝트 단위 발주
CRM,프로모션 및 이벤트 기획·운영하기,3,4,4,5,-2,중간,프로모션/이벤트별 프로젝트 건별 외주
CRM,CRM 전략 기획 및 실행하기,2,5,5,5,-3,낮음,연간/분기 전략 수립 및 실행 통합 프로젝트 단위 계약
CRM,분석 결과 기반으로 캠페인 개선안 도출하기,3,4,3,3,-1,중간,월별 또는 캠페인별 분석·개선안 컨설팅 단위 발주
CRM,고객 행동 및 구매 데이터 분석하여 인사이트 도출하기,4,4,4,4,0,중간,데이터 분석 프로젝트 단위 또는 월간 인사이트 리포트 발주
